Agent,Episode,Social Preference Score
OrangeAgent,1,1.0
OrangeAgent,2,0.5579310344827586
OrangeAgent,3,0.8903448275862069
OrangeAgent,4,0.8810344827586207
OrangeAgent,5,0.7110344827586207
OrangeAgent,6,0.7310344827586207
OrangeAgent,7,0.32068965517241377
OrangeAgent,8,0.763448275862069
OrangeAgent,9,0.35413793103448277
OrangeAgent,10,0.4979310344827586
OrangeAgent,11,0.3117241379310345
OrangeAgent,12,0.6424137931034483
OrangeAgent,13,0.02689655172413793
OrangeAgent,14,0.18586206896551724
OrangeAgent,15,0.3910344827586207
OrangeAgent,16,0.8151724137931035
OrangeAgent,17,0.4710344827586207
OrangeAgent,18,0.5886206896551724
OrangeAgent,19,0.5713793103448276
OrangeAgent,20,0.3624137931034483
OrangeAgent,21,0.7403448275862069
OrangeAgent,22,0.776896551724138
OrangeAgent,23,0.6027586206896551
OrangeAgent,24,0.7937931034482759
OrangeAgent,25,0.23344827586206895
OrangeAgent,26,1.0
OrangeAgent,27,0.643448275862069
OrangeAgent,28,0.5582758620689655
OrangeAgent,29,0.16275862068965516
OrangeAgent,30,0.4782758620689655
OrangeAgent,31,0.4220689655172414
OrangeAgent,32,0.37275862068965515
OrangeAgent,33,0.9889655172413793
OrangeAgent,34,0.9524137931034483
OrangeAgent,35,0.20206896551724138
OrangeAgent,36,0.30379310344827587
OrangeAgent,37,0.613103448275862
OrangeAgent,38,0.526896551724138
OrangeAgent,39,0.43689655172413794
OrangeAgent,40,0.9686206896551725
OrangeAgent,41,0.0003448275862068965
OrangeAgent,42,0.21517241379310345
OrangeAgent,43,0.7396551724137931
OrangeAgent,44,0.5658620689655173
OrangeAgent,45,0.30448275862068963
OrangeAgent,46,0.8013793103448276
OrangeAgent,47,0.13482758620689655
OrangeAgent,48,0.8272413793103448
OrangeAgent,49,0.08586206896551724
OrangeAgent,50,0.7358620689655172
OrangeAgent,51,0.75
OrangeAgent,52,0.7093103448275863
OrangeAgent,53,0.47517241379310343
OrangeAgent,54,1.0
OrangeAgent,55,0.7679310344827586
OrangeAgent,56,0.6144827586206897
OrangeAgent,57,0.31689655172413794
OrangeAgent,58,0.13413793103448277
OrangeAgent,59,0.7975862068965517
OrangeAgent,60,0.586551724137931
OrangeAgent,61,0.6793103448275862
OrangeAgent,62,0.7817241379310345
OrangeAgent,63,0.26448275862068965
OrangeAgent,64,0.706551724137931
OrangeAgent,65,0.5455172413793103
OrangeAgent,66,0.0
OrangeAgent,67,0.7255172413793104
OrangeAgent,68,0.4748275862068966
OrangeAgent,69,0.6
OrangeAgent,70,0.0
OrangeAgent,71,0.8655172413793103
OrangeAgent,72,0.3213793103448276
OrangeAgent,73,0.6934482758620689
OrangeAgent,74,0.7748275862068965
OrangeAgent,75,0.5665517241379311
OrangeAgent,76,0.6906896551724138
OrangeAgent,77,0.7117241379310345
OrangeAgent,78,0.5555172413793104
OrangeAgent,79,0.5941379310344828
OrangeAgent,80,0.0
OrangeAgent,81,0.4924137931034483
OrangeAgent,82,0.8806896551724138
OrangeAgent,83,0.4341379310344828
OrangeAgent,84,0.5913793103448276
OrangeAgent,85,0.5741379310344827
OrangeAgent,86,0.44448275862068964
OrangeAgent,87,0.29482758620689653
OrangeAgent,88,0.47172413793103446
OrangeAgent,89,0.7293103448275862
OrangeAgent,90,1.0
OrangeAgent,91,0.7058620689655173
OrangeAgent,92,1.0
OrangeAgent,93,0.10482758620689656
OrangeAgent,94,0.34413793103448276
OrangeAgent,95,0.49724137931034484
OrangeAgent,96,0.2927586206896552
OrangeAgent,97,1.0
OrangeAgent,98,0.6048275862068966
OrangeAgent,99,0.8113793103448276
OrangeAgent,100,0.44413793103448274
OrangeAgent,101,0.2303448275862069
OrangeAgent,102,0.15379310344827588
OrangeAgent,103,0.553448275862069
OrangeAgent,104,0.4579310344827586
