Agent,Episode,Social Preference Score
OrangeAgent,1,0.5955172413793104
OrangeAgent,2,0.36586206896551726
OrangeAgent,3,0.42551724137931035
OrangeAgent,4,0.19655172413793104
OrangeAgent,5,0.7272413793103448
OrangeAgent,6,0.6758620689655173
OrangeAgent,7,0.5579310344827586
OrangeAgent,8,0.43517241379310345
OrangeAgent,9,0.5306896551724138
OrangeAgent,10,0.3486206896551724
OrangeAgent,11,0.7986206896551724
OrangeAgent,12,0.4479310344827586
OrangeAgent,13,0.47758620689655173
OrangeAgent,14,0.44655172413793104
OrangeAgent,15,0.8255172413793104
OrangeAgent,16,0.22689655172413792
OrangeAgent,17,1.0
OrangeAgent,18,0.5082758620689655
OrangeAgent,19,0.5493103448275862
OrangeAgent,20,0.2886206896551724
OrangeAgent,21,0.12
OrangeAgent,22,0.37517241379310345
OrangeAgent,23,0.7751724137931034
OrangeAgent,24,0.43655172413793103
OrangeAgent,25,0.0
OrangeAgent,26,0.9710344827586207
OrangeAgent,27,0.8027586206896552
OrangeAgent,28,0.92
OrangeAgent,29,0.3317241379310345
OrangeAgent,30,0.43655172413793103
OrangeAgent,31,0.3093103448275862
OrangeAgent,32,0.07344827586206897
OrangeAgent,33,0.8165517241379311
OrangeAgent,34,0.91
OrangeAgent,35,0.40206896551724136
OrangeAgent,36,0.7251724137931035
OrangeAgent,37,0.333448275862069
OrangeAgent,38,0.7706896551724138
OrangeAgent,39,0.8234482758620689
OrangeAgent,40,0.6379310344827587
OrangeAgent,41,0.7517241379310344
OrangeAgent,42,0.54
OrangeAgent,43,1.0
OrangeAgent,44,0.9437931034482758
OrangeAgent,45,0.6451724137931034
OrangeAgent,46,0.35
OrangeAgent,47,0.5934482758620689
OrangeAgent,48,0.2410344827586207
OrangeAgent,49,0.8403448275862069
OrangeAgent,50,0.2806896551724138
OrangeAgent,51,0.8089655172413793
OrangeAgent,52,0.8582758620689656
OrangeAgent,53,0.7020689655172414
OrangeAgent,54,0.66
OrangeAgent,55,0.40379310344827585
OrangeAgent,56,0.9841379310344828
OrangeAgent,57,0.9031034482758621
OrangeAgent,58,0.4006896551724138
OrangeAgent,59,0.2913793103448276
OrangeAgent,60,0.0
OrangeAgent,61,0.743103448275862
OrangeAgent,62,0.7658620689655172
OrangeAgent,63,0.49896551724137933
OrangeAgent,64,0.866551724137931
OrangeAgent,65,0.2824137931034483
OrangeAgent,66,0.536896551724138
OrangeAgent,67,0.8006896551724138
OrangeAgent,68,0.7748275862068965
OrangeAgent,69,0.5479310344827586
OrangeAgent,70,0.5827586206896552
OrangeAgent,71,0.23517241379310344
OrangeAgent,72,0.776896551724138
OrangeAgent,73,0.9144827586206896
OrangeAgent,74,0.7372413793103448
OrangeAgent,75,0.1496551724137931
OrangeAgent,76,1.0
OrangeAgent,77,1.0
OrangeAgent,78,0.4110344827586207
OrangeAgent,79,0.045172413793103446
OrangeAgent,80,1.0
OrangeAgent,81,0.8372413793103448
OrangeAgent,82,0.6448275862068965
