episode,orange_average_pairwise_distances,orange_std_pairwise_distances,blue_average_pairwise_distances,blue_std_pairwise_distances
1,26.4195739244238,1.281016976351151,36.83787938970911,1.8867603414981082
2,25.649151702410162,1.1387176015926737,18.82035673601618,1.2071541858389085
3,32.03988852261518,1.698623480827959,25.410934034624375,1.3442925936477859
4,11.330488415766558,0.5475752374803323,16.420846791973293,0.916718150074489
5,22.469933273157462,1.2733883130876409,8.726492033808578,0.46812894758408874
6,13.762300104815065,0.7207657871458081,6.18621758336898,0.31509174898917064
7,19.572712369147364,1.2163640352328793,8.955020308177852,0.45730266612964804
8,11.835578356982413,0.5734832397825613,15.489924125250564,0.8124951460059774
9,13.061279116443101,0.717787099814912,11.242048616224434,0.5287817057104518
10,7.931824765216142,0.38974518361144894,14.316821235358914,0.7692233364411956
11,5.960688056487011,0.3105503504945209,29.110147560479895,1.5968423899787096
12,2.973333657809969,0.13904497358996562,7.635393915993049,0.3405900141735032
13,3.732583218866816,0.22406284691818745,8.214293954855286,0.3675951935506368
14,3.127720133237718,0.14109979873685244,8.203700484413805,0.3755197862417041
15,2.7307519276400805,0.1304143660378167,9.1214726873467,0.4239789588137572
16,3.2872899356644205,0.14139500387788423,15.871034611091693,0.8135624707045924
17,3.539340860094526,0.15411073697096364,10.115686925114053,0.4720945623584372
18,3.5354800893892437,0.17379321843541246,9.46289371090872,0.48303310981309094
19,3.2765354493418504,0.1592230473017749,20.31374343988205,0.9398884417138819
20,2.56352205661705,0.12337137648353166,14.549447098011056,0.7940222752848689
21,2.5323408288594536,0.12445704684488447,19.440557322283308,1.1160402747029043
22,3.3654698291834926,0.17769740096881886,18.664063359734637,1.0753950659578992
23,3.557352054863879,0.20778426101642086,14.249371995173075,0.6701999489565312
24,2.790102896912788,0.13759911739793645,15.47763417847966,1.4045606353844144
25,2.5965551029480975,0.12400066674186733,10.087365984241172,0.6351972072695882
26,2.8634123169012407,0.13830364628940253,11.238909403505696,0.6564452697722802
27,3.13128983969266,0.15691471627325262,13.03674651549452,1.1190267738431368
28,2.972685181349498,0.14145530651698174,13.79557312844649,0.8521915617371023
29,2.777497504111564,0.14337845657269516,15.832341118949731,1.2036662558970423
30,2.5671197789637867,0.12665303929853974,10.026764829011197,0.5964400240829105
31,2.5838819398284754,0.13002661456489148,9.313785189580747,0.5142514391868259
32,2.888450076299229,0.16080074690113488,11.443866641963025,0.5179925006259388
33,2.5472670441782794,0.12777348359115293,9.57998295783351,0.5728000483279775
34,2.8178066263144053,0.15509413994207888,8.901079631563755,0.4406222002083888
35,2.739646023459691,0.15876630592619553,7.851404501854001,0.4054068970147501
36,3.2939073207524587,0.22804384593414434,6.724933197664639,0.3090549022947598
37,2.3067255168176155,0.12119872916015963,7.846055313444602,0.3978314864495592
38,3.4090475956547293,0.17768721789304148,8.83671546931557,0.5409543331604402
39,3.0620933896286933,0.1911780473915502,11.084395894269594,0.6222288510179347
40,2.765854299493556,0.13988912078980928,7.107367929219482,0.3538823957403708
41,2.8733957783399564,0.15256416102340248,7.8954220484481485,0.41605120022169634
42,3.5238050051181866,0.17961398345708002,6.687698510006012,0.3394312495262271
43,2.2433416192552693,0.10921720422457974,4.975739271768406,0.2512162518165016
44,3.218684372238322,0.18135957378209058,5.236581561455723,0.26895881802422983
