Agent,Episode,Social Preference Score
OrangeAgent,1,0.015172413793103448
OrangeAgent,2,0.48092926490984744
OrangeAgent,3,0.9575862068965517
OrangeAgent,4,0.07965517241379311
OrangeAgent,5,0.14379310344827587
OrangeAgent,6,0.09172413793103448
OrangeAgent,7,0.7213793103448276
OrangeAgent,8,1.0
OrangeAgent,9,0.0
OrangeAgent,10,0.07931034482758621
OrangeAgent,11,0.6382758620689655
OrangeAgent,12,0.8310344827586207
OrangeAgent,13,0.14620689655172414
OrangeAgent,14,0.8382758620689655
OrangeAgent,15,0.0
OrangeAgent,16,0.5348275862068965
OrangeAgent,17,0.593103448275862
OrangeAgent,18,0.2889655172413793
OrangeAgent,19,1.0
OrangeAgent,20,0.7489655172413793
OrangeAgent,21,0.5055172413793103
OrangeAgent,22,0.6810344827586207
OrangeAgent,23,0.34241379310344827
OrangeAgent,24,0.10931034482758621
OrangeAgent,25,0.8682758620689656
OrangeAgent,26,0.07344827586206897
OrangeAgent,27,0.0
OrangeAgent,28,0.8855172413793103
OrangeAgent,29,0.1879310344827586
OrangeAgent,30,0.06862068965517241
OrangeAgent,31,0.9675862068965517
OrangeAgent,32,0.29758620689655174
OrangeAgent,33,0.6124137931034482
OrangeAgent,34,0.9096551724137931
OrangeAgent,35,0.7310344827586207
OrangeAgent,36,0.5289655172413793
OrangeAgent,37,0.6027586206896551
OrangeAgent,38,0.5958620689655172
OrangeAgent,39,0.9417241379310345
OrangeAgent,40,0.643448275862069
OrangeAgent,41,0.9579310344827586
OrangeAgent,42,0.4651724137931034
OrangeAgent,43,0.08517241379310345
OrangeAgent,44,0.9275862068965517
OrangeAgent,45,0.0
OrangeAgent,46,1.0
OrangeAgent,47,0.1906896551724138
OrangeAgent,48,0.9224137931034483
OrangeAgent,49,0.3993103448275862
OrangeAgent,50,0.47758620689655173
OrangeAgent,51,0.16413793103448276
OrangeAgent,52,0.7286206896551725
OrangeAgent,53,0.6220689655172413
OrangeAgent,54,0.9210344827586207
OrangeAgent,55,0.011034482758620689
OrangeAgent,56,0.9982758620689656
OrangeAgent,57,0.05724137931034483
OrangeAgent,58,0.29344827586206895
OrangeAgent,59,0.9431034482758621
OrangeAgent,60,0.3813793103448276
OrangeAgent,61,0.11103448275862068
OrangeAgent,62,0.0
