Agent,Episode,Social Preference Score
Orange01,1,1.0
Orange01,2,0.44620689655172413
Orange01,3,0.11275862068965517
Orange01,4,0.0
Orange01,5,0.0
Orange01,6,0.9196551724137931
Orange01,7,0.0
Orange01,8,0.8496551724137931
Orange01,9,1.0
Orange01,10,0.12172413793103448
Orange01,11,0.0
Orange01,12,0.536896551724138
Orange01,13,0.0
Orange01,14,0.0
Orange01,15,0.0
Orange01,16,0.6641379310344827
Orange01,17,0.12137931034482759
Orange01,18,1.0
Orange01,19,0.3255172413793103
Orange01,20,1.0
Orange01,21,1.0
Orange01,22,0.5658620689655173
Orange01,23,0.8982758620689655
Orange01,24,0.0
Orange01,25,0.6258620689655172
Orange01,26,0.3368965517241379
Orange01,27,0.7113793103448276
Orange01,28,1.0
Orange01,29,0.7358620689655172
Orange01,30,1.0
Orange01,31,1.0
Orange01,32,1.0
Orange01,33,0.4317241379310345
Orange01,34,0.7848275862068965
Orange01,35,0.28172413793103446
Orange01,36,0.7641379310344828
Orange01,37,0.5941379310344828
Orange01,38,0.39
Orange01,39,1.0
Orange01,40,0.3217241379310345
Orange01,41,1.0
Orange01,42,0.1386206896551724
Orange01,43,0.4048275862068966
Orange01,44,0.7348275862068966
Orange01,45,0.5365517241379311
Orange01,46,1.0
Orange01,47,0.706551724137931
Orange01,48,0.07448275862068965
Orange01,49,0.13620689655172413
Orange01,50,0.21275862068965518
Orange01,51,1.0
Orange01,52,1.0
Orange01,53,0.8644827586206897
Orange01,54,0.9355172413793104
Orange01,55,0.19517241379310346
Orange01,56,0.006551724137931035
Orange01,57,0.7451724137931034
Orange01,58,0.6710344827586207
Orange01,59,1.0
Orange01,60,0.3896551724137931
Orange01,61,1.0
Orange01,62,1.0
Orange01,63,0.9017241379310345
Orange01,64,1.0
Orange01,65,0.41724137931034483
Orange01,66,0.12034482758620689
Orange01,67,0.8255172413793104
Orange01,68,0.0
Orange01,69,0.3620689655172414
Orange01,70,0.5651724137931035
