Agent,Episode,Social Preference Score
Orange01,1,0.05379310344827586
Orange01,2,0.4210344827586207
Orange01,3,0.46586206896551724
Orange01,4,0.4903448275862069
Orange01,5,0.5217241379310344
Orange01,6,0.15586206896551724
Orange01,7,0.5131034482758621
Orange01,8,0.47965517241379313
Orange01,9,0.48482758620689653
Orange01,10,0.48758620689655174
Orange01,11,0.6224137931034482
Orange01,12,0.5148275862068965
Orange01,13,0.45620689655172414
Orange01,14,0.4006896551724138
Orange01,15,0.5103448275862069
Orange01,16,0.4675862068965517
Orange01,17,0.5644827586206896
Orange01,18,0.11137931034482759
Orange01,19,0.002413793103448276
Orange01,20,0.08931034482758621
Orange01,21,0.4886206896551724
Orange01,22,0.49586206896551727
Orange01,23,0.5048275862068966
Orange01,24,0.5362068965517242
Orange01,25,0.5075862068965518
Orange01,26,0.583103448275862
Orange01,27,0.16758620689655174
Orange01,28,0.48
Orange01,29,0.4906896551724138
Orange01,30,0.5531034482758621
Orange01,31,0.1724137931034483
Orange01,32,0.0020689655172413794
Orange01,33,0.14310344827586208
Orange01,34,0.05551724137931034
Orange01,35,0.02793103448275862
Orange01,36,0.38620689655172413
Orange01,37,0.48551724137931035
Orange01,38,0.4793103448275862
Orange01,39,0.523448275862069
Orange01,40,0.1206896551724138
Orange01,41,0.3703448275862069
Orange01,42,0.49448275862068963
Orange01,43,0.5041379310344828
Orange01,44,0.6410344827586207
Orange01,45,0.4610344827586207
Orange01,46,0.49
Orange01,47,0.4731034482758621
Orange01,48,0.13448275862068965
Orange01,49,0.45827586206896553
Orange01,50,0.46379310344827585
Orange01,51,0.47206896551724137
Orange01,52,0.6196551724137931
Orange01,53,0.4617241379310345
Orange01,54,0.4820689655172414
Orange01,55,0.4531034482758621
Orange01,56,0.4417241379310345
Orange01,57,0.42379310344827587
Orange01,58,0.17551724137931035
Orange01,59,0.5644827586206896
Orange01,60,0.48379310344827586
Orange01,61,0.5444827586206896
Orange01,62,0.18413793103448275
Orange01,63,0.07
Orange01,64,0.46241379310344827
Orange01,65,0.486551724137931
Orange01,66,0.45586206896551723
Orange01,67,0.37689655172413794
Orange01,68,0.1610344827586207
Orange01,69,0.5696551724137932
Orange01,70,0.4793103448275862
Orange01,71,0.5351724137931034
Orange01,72,0.21310344827586206
Orange01,73,0.5403448275862069
Orange01,74,0.4803448275862069
Orange01,75,0.5082758620689655
Orange01,76,0.46793103448275863
Orange01,77,0.4586206896551724
Orange01,78,0.4458620689655172
Orange01,79,0.0503448275862069
Orange01,80,0.06137931034482759
Orange01,81,0.4362068965517241
Orange01,82,0.4996551724137931
Orange01,83,0.36551724137931035
Orange01,84,0.020689655172413793
Orange01,85,0.07275862068965518
Orange01,86,0.42551724137931035
Orange01,87,0.08517241379310345
Orange01,88,0.029655172413793104
Orange01,89,0.3682758620689655
Orange01,90,0.4589655172413793
Orange01,91,0.5372413793103449
Orange01,92,0.22137931034482758
Orange01,93,0.0003448275862068965
Orange01,94,0.06241379310344827
Orange01,95,0.0020689655172413794
Orange01,96,0.22275862068965518
Orange01,97,0.5317241379310345
Orange01,98,0.4789655172413793
Orange01,99,0.48310344827586205
Orange01,100,0.46827586206896554
Orange02,1,1.0
Orange02,2,0.46448275862068966
Orange02,3,0.0
Orange02,4,0.0
Orange02,5,0.6003448275862069
Orange02,6,1.0
Orange02,7,1.0
Orange02,8,1.0
Orange02,9,0.8537931034482759
Orange02,10,0.0
Orange02,11,0.0
Orange02,12,0.8596551724137931
Orange02,13,1.0
Orange02,14,1.0
Orange02,15,0.9065517241379311
Orange02,16,1.0
Orange02,17,1.0
Orange02,18,0.0
Orange02,19,0.0
Orange02,20,0.3406896551724138
Orange02,21,1.0
Orange02,22,0.516896551724138
Orange02,23,0.0
Orange02,24,0.0
Orange02,25,0.17103448275862068
Orange02,26,0.0
Orange02,27,0.0
Orange02,28,0.31275862068965515
Orange02,29,1.0
Orange02,30,0.7293103448275862
Orange02,31,0.0
Orange02,32,0.0
Orange02,33,0.26586206896551723
Orange02,34,1.0
Orange02,35,0.2831034482758621
Orange02,36,0.0
Orange02,37,0.0
Orange02,38,0.7306896551724138
Orange02,39,1.0
Orange02,40,0.28379310344827585
Orange02,41,0.0
Orange02,42,0.0
Orange02,43,0.7151724137931035
Orange02,44,1.0
Orange02,45,0.029655172413793104
Orange02,46,0.0
Orange02,47,0.0
Orange02,48,0.5113793103448275
Orange02,49,1.0
Orange02,50,0.3568965517241379
Orange02,51,0.0
Orange02,52,0.0
Orange02,53,0.2003448275862069
Orange02,54,0.85
Orange02,55,0.0
Orange02,56,0.0
Orange02,57,0.15068965517241378
Orange02,58,0.9824137931034482
Orange02,59,0.5310344827586206
Orange02,60,0.0
Orange02,61,0.0
Orange02,62,0.0
Orange02,63,0.0
Orange02,64,0.0
Orange02,65,0.8696551724137931
Orange02,66,0.01793103448275862
Orange02,67,0.0
Orange02,68,0.0
Orange02,69,0.0
Orange02,70,0.6744827586206896
Orange02,71,1.0
Orange02,72,0.20344827586206896
Orange02,73,0.0
Orange02,74,0.0
Orange02,75,0.8689655172413793
Orange02,76,0.05310344827586207
Orange02,77,0.0
Orange02,78,0.0
Orange02,79,0.17689655172413793
Orange02,80,1.0
Orange02,81,0.5462068965517242
Orange02,82,0.0
Orange02,83,0.0
Orange02,84,0.45448275862068965
Orange02,85,0.8951724137931034
Orange02,86,0.0
Orange02,87,0.0
Orange02,88,0.10448275862068966
Orange02,89,1.0
Orange02,90,0.6106896551724138
Orange02,91,0.0
Orange02,92,0.0
Orange02,93,0.38862068965517244
Orange02,94,0.0
Orange02,95,0.0
Orange02,96,0.0
Orange02,97,1.0
Orange02,98,1.0
Orange02,99,1.0
Orange02,100,0.5
Orange03,1,0.47620689655172416
Orange03,2,0.38551724137931037
Orange03,3,0.36379310344827587
Orange03,4,0.4110344827586207
Orange03,5,0.44413793103448274
Orange03,6,0.4975862068965517
Orange03,7,0.5875862068965517
Orange03,8,0.15172413793103448
Orange03,9,0.007241379310344828
Orange03,10,0.49586206896551727
Orange03,11,0.5520689655172414
Orange03,12,0.5848275862068966
Orange03,13,0.576551724137931
Orange03,14,0.6158620689655172
Orange03,15,0.9624137931034483
Orange03,16,0.496551724137931
Orange03,17,0.7155172413793104
Orange03,18,0.5003448275862069
Orange03,19,0.6220689655172413
Orange03,20,0.6972413793103448
Orange03,21,0.4413793103448276
Orange03,22,0.6979310344827586
Orange03,23,0.6624137931034483
Orange03,24,1.0
Orange03,25,0.5951724137931035
Orange03,26,0.9475862068965517
Orange03,27,0.4675862068965517
Orange03,28,0.26517241379310347
Orange03,29,0.3355172413793103
Orange03,30,0.46586206896551724
Orange03,31,0.42724137931034484
Orange03,32,0.6062068965517241
Orange03,33,0.5568965517241379
Orange03,34,0.4148275862068965
Orange03,35,0.3813793103448276
Orange03,36,0.5593103448275862
Orange03,37,0.3593103448275862
Orange03,38,0.2524137931034483
Orange03,39,0.4220689655172414
Orange03,40,0.8217241379310345
Orange03,41,1.0
Orange03,42,0.5572413793103448
Orange03,43,0.6217241379310345
Orange03,44,0.6693103448275862
Orange03,45,1.0
Orange03,46,0.4182758620689655
Orange03,47,0.009310344827586206
Orange03,48,0.4013793103448276
Orange03,49,0.3303448275862069
Orange03,50,0.44
Orange03,51,0.3906896551724138
Orange03,52,0.4068965517241379
Orange03,53,0.5389655172413793
Orange03,54,0.6955172413793104
Orange03,55,0.5613793103448276
Orange03,56,0.5913793103448276
Orange03,57,0.47
Orange03,58,0.23620689655172414
Orange03,59,0.3782758620689655
Orange03,60,0.49310344827586206
Orange03,61,0.9724137931034482
Orange03,62,0.5441379310344827
Orange03,63,0.36758620689655175
Orange03,64,0.5282758620689655
Orange03,65,0.5058620689655172
Orange03,66,0.7579310344827587
Orange03,67,0.8586206896551725
Orange03,68,0.993103448275862
Orange03,69,0.5720689655172414
Orange03,70,0.3775862068965517
Orange03,71,0.4227586206896552
Orange03,72,0.08896551724137931
Orange03,73,0.5879310344827586
Orange03,74,0.5648275862068965
Orange03,75,0.866551724137931
Orange03,76,0.5737931034482758
